Accident_No,Surface_Cond_Desc,Atmosph_Cond_Desc,Accident_Type_Desc,Day,Light_Condition_Desc,Speed_Zone,Accident_Date,Accident_Time,Alcohol_Influence,Total_Persons_Inv,Inj_Or_Fatal,Lat,Long,LGA
T20140013529,Wet,Raining,Struck Pedestrian,Tuesday,Dark Street lights on,50,2014/07/01,17:30:00,No,2.0,1.0,-38.13589905,145.8566108,BAW BAW
T20140013551,Dry,Clear,Collision with a fixed object,Wednesday,Dark No street lights,110,2014/07/02,03:54:00,Yes,1.0,1.0,-37.50737024,144.6145192,MACEDON RANGES
T20140013562,Dry,Clear,Vehicle overturned (no collision),Wednesday,Day,100,2014/07/02,07:00:00,No,2.0,2.0,-37.45935895,143.4327223,PYRENEES
T20140013605,Dry,Clear,Collision with vehicle,Wednesday,Day,50,2014/07/02,15:40:00,No,1.0,1.0,-37.59351002,143.8396788,BALLARAT
T20140013622,Dry,Clear,Collision with a fixed object,Wednesday,Dusk/Dawn,80,2014/07/02,16:00:00,No,1.0,1.0,-35.26137545,141.226581,MILDURA
T20140013646,Wet,Clear,Collision with a fixed object,Thursday,Dark Street lights on,50,2014/07/03,01:00:00,Yes,1.0,1.0,-38.32657286,142.4993701,WARRNAMBOOL
T20140013650,Dry,Fog,Collision with vehicle,Thursday,Dusk/Dawn,100,2014/07/03,08:10:00,No,2.0,1.0,-36.73203238,142.1380503,HORSHAM
T20140013654,Wet,Clear,No collision and no object struck,Wednesday,Day,80,2014/07/02,14:05:00,No,1.0,1.0,-38.46928052,145.6275023,BASS COAST
T20140013657,Wet,Clear,Collision with vehicle,Thursday,Dusk/Dawn,60,2014/07/03,08:40:00,No,2.0,1.0,-37.56567438,143.8863515,BALLARAT
T20140013663,Dry,Fog,Collision with vehicle,Thursday,Dusk/Dawn,50,2014/07/03,07:15:00,No,2.0,1.0,-37.21239345,145.4217662,MURRINDINDI
T20140013666,Dry,Clear,Struck Pedestrian,Thursday,Day,60,2014/07/03,11:45:00,No,2.0,1.0,-36.38226723,145.4080889,GREATER SHEPPARTON
T20140013678,Dry,Clear,Collision with a fixed object,Thursday,Day,60,2014/07/03,12:34:00,No,1.0,1.0,-37.73825196,142.0171802,SOUTHERN GRAMPIANS
T20140013701,Dry,Clear,Collision with vehicle,Thursday,Day,60,2014/07/03,10:00:00,No,2.0,1.0,-37.59275568,143.8411198,BALLARAT
T20140013708,Wet,Clear,Collision with vehicle,Thursday,Dark Street lights on,50,2014/07/03,19:50:00,Yes,2.0,1.0,-36.77211572,144.2512052,GREATER BENDIGO
T20140013712,Dry,Clear,Collision with vehicle,Thursday,Dusk/Dawn,60,2014/07/03,17:00:00,No,3.0,1.0,-38.16763823,145.9525449,BAW BAW
T20140013718,Dry,Clear,Collision with vehicle,Thursday,Dark Street lights on,60,2014/07/03,20:40:00,Yes,1.0,1.0,-38.37372833,142.49237,WARRNAMBOOL
T20140013723,Dry,Fog,Collision with vehicle,Thursday,Dark No street lights,100,2014/07/03,20:59:00,Yes,2.0,2.0,-38.15741154,146.7473104,WELLINGTON
T20140013742,Dry,Clear,Collision with vehicle,Friday,Day,70,2014/07/04,11:35:00,No,7.0,1.0,-38.0988486,144.3552524,GREATER GEELONG
T20140013750,Dry,Clear,Collision with vehicle,Friday,Day,50,2014/07/04,13:15:00,No,3.0,1.0,-38.12761481,146.5731267,LATROBE
T20140013782,Wet,Raining,Vehicle overturned (no collision),Friday,Dark No street lights,60,2014/07/04,19:21:00,Yes,2.0,1.0,-37.88995989,142.7976509,MOYNE
T20140013793,Dry,Clear,Collision with a fixed object,Saturday,Dark Street lights on,50,2014/07/05,00:00:00,Yes,1.0,1.0,-38.43759963,145.8144003,SOUTH GIPPSLAND
T20140013796,Wet,Clear,Collision with vehicle,Friday,Dark Street lights on,100,2014/07/04,22:30:00,Yes,3.0,1.0,-37.20343585,143.9464638,HEPBURN
T20140013797,Dry,Clear,Collision with a fixed object,Friday,Dark No street lights,100,2014/07/04,06:20:00,No,2.0,1.0,-36.95036025,143.7385909,CENTRAL GOLDFIELDS
T20140013820,Wet,Raining,Collision with a fixed object,Saturday,Day,60,2014/07/05,12:00:00,No,3.0,1.0,-37.15017992,144.1660794,MOUNT ALEXANDER
T20140013830,Icy,Clear,Vehicle overturned (no collision),Saturday,Day,100,2014/07/05,10:10:00,No,1.0,1.0,-37.08912157,147.3838724,EAST GIPPSLAND
T20140013836,Wet,Raining,Vehicle overturned (no collision),Saturday,Day,100,2014/07/05,13:00:00,No,2.0,2.0,-37.45419736,143.5349707,PYRENEES
T20140013839,Wet,Clear,Collision with a fixed object,Saturday,Dusk/Dawn,50,2014/07/05,16:35:00,Yes,3.0,2.0,-36.38032861,145.3620983,GREATER SHEPPARTON
T20140013843,Wet,Raining,Collision with vehicle,Saturday,Day,100,2014/07/05,14:45:00,Yes,5.0,2.0,-38.70289977,143.5745996,COLAC OTWAY
T20140013844,Dry,Clear,Collision with vehicle,Saturday,Dusk/Dawn,60,2014/07/05,16:44:00,Yes,4.0,2.0,-36.72784001,144.2586304,GREATER BENDIGO
T20140013845,Dry,Clear,Collision with vehicle,Saturday,Day,100,2014/07/05,15:15:00,Yes,3.0,1.0,-36.37235997,145.2228618,GREATER SHEPPARTON
T20140013849,Wet,Raining,Vehicle overturned (no collision),Friday,Dark No street lights,110,2014/07/04,23:50:00,Yes,2.0,2.0,-36.11874796,146.6614882,INDIGO
T20140013852,Wet,Raining,Collision with a fixed object,Saturday,Dark No street lights,100,2014/07/05,06:00:00,Yes,1.0,1.0,-37.34367872,145.9682202,MURRINDINDI
T20140013854,Wet,Raining,Collision with vehicle,Saturday,Dark Street lights on,50,2014/07/05,18:08:00,Yes,1.0,1.0,-37.56048138,143.8642337,BALLARAT
T20140013872,Dry,Clear,Struck Pedestrian,Sunday,Dark Street lights on,60,2014/07/06,02:15:00,Yes,2.0,1.0,-36.38194355,145.405818,GREATER SHEPPARTON
T20140013877,Unknown,Not known,Struck Pedestrian,Thursday,Day,50,2014/07/03,10:30:00,No,2.0,1.0,-38.38095961,142.4795591,WARRNAMBOOL
T20140013882,Wet,Raining,Vehicle overturned (no collision),Saturday,Dark No street lights,100,2014/07/05,19:50:00,Yes,2.0,2.0,-37.64622358,148.834581,EAST GIPPSLAND
T20140013885,Wet,Raining,Collision with a fixed object,Friday,Dark No street lights,80,2014/07/04,21:00:00,Yes,1.0,1.0,-37.71170888,146.6654492,WELLINGTON
T20140013889,Wet,Raining,Collision with a fixed object,Sunday,Dark No street lights,60,2014/07/06,05:00:00,Yes,1.0,1.0,-36.81427701,144.2320913,GREATER BENDIGO
T20140013891,Dry,Clear,Collision with vehicle,Sunday,Day,40,2014/07/06,12:50:00,No,4.0,1.0,-36.1273596,144.7494024,CAMPASPE
